Symbol,Shear modulus,ki(compressibility),Melting point (K),Boiling point (k),Phi(V),Nws(density),Vm,a.cf,R.cf,Hform(kJ/mol),DH(Ni in X)(kJ/mol),DH(X in Ni)(kJ/mol),Phi(V),Nws(density),Vm,a.cf,R.cf,Hform(kJ/mol),DH(Al in X)(kJ/mol),DH(X in Al(kJ/mol),Ni3Al-X
Ta,0.54,0.009182736,3269,5698,4.05,4.33,10.81,0.04,1,-31.237286,-99.376622,-138.08253,4.05,4.33,10.81,0.04,1,-46.205299,-119.891847,-126.281611,-110.981489
W,0.7,0.004997501,3680,5930,4.8,5.93,9.55,0.04,1,-3.331179,-11.142264,-14.254317,4.8,5.93,9.55,0.04,1,-20.556163,-56.044136,-54.349943,-57.426246
Re,1.56,0.003094059,3453,5900,5.2,6.33,8.85,0.04,1,2.414829,8.349675,10.153189,5.2,6.33,8.85,0.04,1,-30.299463,-85.041177,-78.389538,-61.423538
Os,1.82,0.002690342,3327,5300,5.4,6.33,8.45,0.04,1,1.3528,4.780486,5.636557,5.4,6.33,8.45,0.04,1,-43.827239,-125.117062,-111.828975,-76.013343
Ir,2.14,0.002164502,2683,4403,5.55,6.13,8.52,0.04,1,-1.578825,-5.52261,-6.54749,5.55,6.13,8.52,0.04,1,-61.093219,-174.24,-156.59369,-96.210948
Pt,2.14,0.002610966,2045,4100,5.65,5.64,9.1,0.04,1,-5.074512,-16.992251,-21.04986,5.65,5.64,9.1,0.04,1,-82.880335,-232.053528,-217.912648,-121.493751
Au,0.622,0.003593245,1337.58,3080,5.15,3.87,10.2,0.07,0.3,7.801667,24.81848,33.175134,5.15,3.87,10.2,0.07,0.3,-37.366485,-99.514156,-100.836628,-63.103722
Pb,0.281,0.005773672,600.65,2013,4.1,1.52,18.28,0.04,2.1,1.974497,4.658947,9.188457,4.1,1.52,18.28,0.04,2.1,14.807381,33.69207,50.370758,-16.757026
B,0.055,0.023310023,2348,4273,5.3,5.36,4.7,0.07,1.9,-20.601505,-145.250581,-115.82985,5.3,5.36,4.7,0.07,1.9,14.827502,-0.610993,-0.369347,-39.312907
Ce,0.14,0.045454545,1071,3633,4.1,1.52,18.28,0.04,2.1,1.974497,4.658947,9.188457,3.18,1.69,21.62,0.07,0.7,-68.42254,-146.419014,-244.813073,-99.986947
La,0.14,0.035714286,1193,3737,3.18,1.69,21.62,0.07,0.7,-34.896233,-80.437853,-177.419617,3.17,1.64,22.55,0.07,0.7,-67.728262,-143.745557,-247.186906,-136.163399
Pr,0.16,0.034482759,1204,3563,3.17,1.64,22.55,0.07,0.7,-32.811013,-73.982522,-167.827918,3.19,1.73,20.79,0.07,0.7,-68.646973,-148.082372,-241.216135,-134.99689
Pm,0.18,0.03030303,1373,3273,3.19,1.73,20.79,0.07,0.7,-36.045822,-84.828661,-182.284461,3.19,1.77,20.25,0.07,0.7,-69.664871,-151.089432,-241.834046,-139.249597
Sm,0.2,0.026315789,1345,2076,3.19,1.77,20.25,0.07,0.7,-38.487035,-91.889042,-194.022064,3.2,1.77,20.01,0.07,0.7,-68.78512,-149.597745,-237.550768,-140.811059
Dy,0.25,0.024390244,1685,2840,3.2,1.77,20.01,0.07,0.7,-37.069004,-89.043145,-186.524518,3.21,1.82,19,0.07,0.7,-68.936699,-151.660779,-232.653192,-139.544607
Gd,0.22,0.026315789,1586,3523,3.21,1.82,19,0.07,0.7,-38.35577,-94.781309,-191.806129,3.2,1.77,19.9,0.07,0.7,-68.70516,-149.597745,-236.679385,-140.599834
Tb,0.22,0.025839793,1629,3503,3.2,1.77,19.9,0.07,0.7,-36.956246,-89.043145,-185.840308,3.21,1.82,19.32,0.07,0.7,-69.191277,-151.660779,-235.25816,-139.686427
Ho,0.26,0.025,1747,2973,3.21,1.82,19.32,0.07,0.7,-38.715985,-94.781309,-193.953742,3.22,1.82,18.76,0.07,0.7,-68.056585,-150.191509,-228.454967,-140.311474
Er,0.28,0.022727273,1770,3141,3.22,1.82,18.76,0.07,0.7,-36.963546,-91.948317,-184.502838,3.22,1.86,18.45,0.07,0.7,-69.003632,-152.860213,-229.945743,-139.506082
