Elemental Addition to Co3Al,Enthalpy,Lattice Mismatch,Coeficient of Thermal Expansion,Cohesive Energy,Work Function,Wigner-Seitz cell density,Volume,Bulk Modulus,Shear Modulus,Relative Melting Temperature
W,-0.01,0.11,4.59,8.9,4.8,5.93,9.55,323.3,153,3695
Y,-0.27,0.30,10.6,4.37,3.2,1.77,19.9,36.62,25.8,1801
Zn,-0.12,0.10,25,1.35,4.1,2.3,9.17,59.85,37.18,693
Zr,-0.48,0.22,5.78,6.25,3.45,2.8,14,83.35,34.14,2128
