EutecticComp,EutecticAngle,Radius1,Radius2
19.65796107,80.616,160,126
0,0,160,126
0,0,160,126
92.25042943,142.112,160,174
80.90500169,109.538,160,174
14.81963602,29.609,160,174
0,0,160,174
0,0,160,174
35.28359823,46.2,132,174
0,0,132,174
0,0,132,174
0,0,132,174
0,0,132,174
78.64318492,100.2,139,135
0,0,139,135
0,0,139,135
0,0,139,135
0,0,139,135
8.928759864,61.67,72,125
15.81570911,56.31,72,125
0,0,72,125
0,0,72,125
0,0,72,125
22.10584782,87.141,180,201
0,0,180,201
0,0,180,201
0,0,180,201
0,0,180,201
60.00392656,138.5,180,155
77.98802472,157.9,180,155
99.59303579,82.58,180,155
0,0,180,155
0,0,180,155
98.37666698,38.35,180,132
0,0,180,132
0,0,180,132
0,0,180,132
0,0,180,132
55.56386563,18.568,180,155
39.31737356,50.93,180,155
0,0,180,155
0,0,180,155
0,0,180,155
99.35078087,103.251,180,212
0,0,180,212
0,0,180,212
0,0,180,212
0,0,180,212
66.9823306,125.6,178,139
72.41647425,105.1,178,139
79.37843657,121.668,178,139
0,0,178,139
0,0,178,139
82.50858028,94.5,178,172
30.44454723,94.3,178,172
0,0,178,172
0,0,178,172
0,0,178,172
87.64791722,69,126,158
65.08226156,41.8,126,158
16.25562475,11.8,126,158
0,0,126,158
0,0,126,158
87.67622992,109,126,143
59.46515744,96.9,126,143
45.46684297,119.4,126,143
0,0,126,143
0,0,126,143
91.22921999,37.6,126,158
63.67151277,54,126,158
36.0309292,25.8,126,158
24.14701063,35.6,126,158
0,0,126,158
1.686314015,23.63,64,126
31.08851442,86.48,64,126
39.26761054,34.48,64,126
0,0,64,126
0,0,64,126
5.725657109,111.2,142,162
56.69411389,103.558,142,162
0,0,142,162
0,0,142,162
0,0,142,162
17.45698854,102.1,142,196
42.3836405,92,142,196
87.53355097,49.9,142,196
0,0,142,196
0,0,142,196
30.58848149,96.647,142,155
37.05347305,26.431,142,155
87.7406946,103.655,142,155
0,0,142,155
0,0,142,155
38.07447063,136.2,142,174
43.0902328,125.8,142,174
58.40474758,130.737,142,174
0,0,142,174
0,0,142,174
82.31158352,95.583,183,144
76.86790999,39.883,183,144
84.82862941,28.639,183,144
93.3922399,24.116,183,144
0,0,183,144
25.64636471,85.165,183,174
56.59718953,86.547,183,174
67.00370948,163.745,183,174
0,0,183,174
0,0,183,174
13.87952458,60.4,183,172
61.67995748,63.9,183,172
74.73641588,97,183,172
0,0,183,172
0,0,183,172
56.69730203,125.125,139,162
0,0,139,162
0,0,139,162
0,0,139,162
0,0,139,162
87.53775889,32.8,139,158
5.197536364,94.698,139,158
0,0,139,158
0,0,139,158
0,0,139,158
99.06808838,70.67,132,172
13.24258799,21.603,132,172
0,0,132,172
0,0,132,172
0,0,132,172
7.233794469,98.64,134,175
35.55154537,74.7,134,175
0,0,134,175
0,0,134,175
0,0,134,175
18.51670961,67.8,134,158
49.02998926,96.5,134,158
0,0,134,158
0,0,134,158
0,0,134,158
13.03616967,64.64,155,174
98.44436126,100,155,174
0,0,155,174
0,0,155,174
0,0,155,174
3.181734003,63.2,155,187
0,0,155,187
0,0,155,187
0,0,155,187
0,0,155,187
4.470214879,65.5,155,178
96.34567096,75.96,155,178
0,0,155,178
0,0,155,178
0,0,155,178
4.862852454,64.65,155,183
0,0,155,183
0,0,155,183
0,0,155,183
0,0,155,183
95.49906914,97.267,155,185
9.542177046,79.121,155,185
0,0,155,185
0,0,155,185
0,0,155,185
90.54079817,86.1,155,180
0,0,155,180
0,0,155,180
0,0,155,180
0,0,155,180
72.34699725,143.5,155,140
7.415286839,72.2,155,140
0,0,155,140
0,0,155,140
0,0,155,140
29.16868037,75.3,155,172
0,0,155,172
0,0,155,172
0,0,155,172
0,0,155,172
46.76006865,64.8,155,158
0,0,155,158
0,0,155,158
0,0,155,158
0,0,155,158
12.04653903,97.67,162,144
40.36118003,95.3,162,144
80.3362627,91.48,162,144
0,0,162,144
0,0,162,144
64.97842786,78.7,162,130
0,0,162,130
0,0,162,130
0,0,162,130
0,0,162,130
12.12840275,34.27,162,125
74.34915603,51.2,162,125
0,0,162,125
0,0,162,125
0,0,162,125
73.13142746,76.139,118,162
0,0,118,162
0,0,118,162
0,0,118,162
0,0,118,162
57.04267171,85.153,118,264
68.9646954,76.621,118,264
83.98347114,96.245,118,264
0,0,118,264
0,0,118,264
55.76159261,46.4,118,132
78.9465196,39.7,118,132
0,0,118,132
0,0,118,132
0,0,118,132
41.91402071,57.9,118,172
69.82415962,96,118,172
0,0,118,172
0,0,118,172
0,0,118,172
4.096763822,20.2,110,144
0,0,110,144
0,0,110,144
0,0,110,144
0,0,110,144
18.62280953,8.93,110,144
0,0,110,144
0,0,110,144
0,0,110,144
0,0,110,144
13.13599942,12.6,110,223
77.26167371,82.5,110,223
0,0,110,223
0,0,110,223
0,0,110,223
18.69699513,10.67,110,143
56.99011734,63.9,110,143
98.00795649,117.7,110,143
0,0,110,143
0,0,110,143
17.14997683,8.2,110,142
46.73170984,12.8,110,142
53.51150345,24.9,110,142
0,0,110,142
0,0,110,142
22.44520382,10,110,139
38.60087085,20,110,139
66.97620789,61,110,139
0,0,110,139
0,0,110,139
29.31893335,76,155,144
93.72372494,152.8,155,144
0,0,155,144
0,0,155,144
0,0,155,144
57.04545081,113.319,155,162
0,0,155,162
0,0,155,162
0,0,155,162
0,0,155,162
12.40934383,51.063,155,187
19.75272481,72.087,155,187
24.41150301,102.393,155,187
0,0,155,187
0,0,155,187
11.01159127,81.755,155,185
0,0,155,185
0,0,155,185
0,0,155,185
0,0,155,185
14.89230092,100.76,155,140
0,0,155,140
0,0,155,140
0,0,155,140
0,0,155,140
10.8540745,57.52,212,144
26.99704647,56.88,212,144
45.07689569,40.15,212,144
55.17888036,90.76,212,144
76.53651811,52.05,212,144
22.43499885,13.7,212,144
44.1286086,27,212,144
0,0,212,144
0,0,212,144
0,0,212,144
26.9568303,44.777,212,162
62.65990199,32.7,212,162
87.73792924,112.947,212,162
0,0,212,162
0,0,212,162
30.41482772,59.457,212,174
87.47198161,116,212,174
0,0,212,174
0,0,212,174
0,0,212,174
53.57716829,71.163,212,155
63.48214117,30.53,212,155
97.46790858,108.03,212,155
0,0,212,155
0,0,212,155
26.61775572,75.68,180,172
73.75062932,61,180,172
84.82814558,61.8,180,172
0,0,180,172
0,0,180,172
54.01340437,83,140,264
75.75603273,73,140,264
0,0,140,264
0,0,140,264
0,0,140,264
12.71294462,94.6,140,175
56.43026805,42.7,140,175
0,0,140,175
0,0,140,175
0,0,140,175
3.002207067,93.366,140,174
0,0,140,174
0,0,140,174
0,0,140,174
0,0,140,174
10.05564782,113.35,140,178
0,0,140,178
0,0,140,178
0,0,140,178
0,0,140,178
54.71707107,35.2,140,172
82.58390227,37.97,140,172
84.65584335,14.125,140,172
0,0,140,172
0,0,140,172
11.53031833,71.93,179,144
28.79665252,95.72,179,144
35.27923157,75.34,179,144
72.51549365,52.39,179,144
0,0,179,144
5.73973691,106.557,190,162
43.77754159,42.453,190,162
92.68680213,90.216,190,162
0,0,190,162
0,0,190,162
77.31405659,71.9,190,174
54.98741926,59.9,190,174
25.57632756,132.7,190,174
0,0,190,174
0,0,190,174
25.00326498,91,138,223
43.0908595,128,138,223
43.0908595,69,138,223
0,0,138,223
0,0,138,223
32.46154295,67.75,138,212
72.49863313,64.127,138,212
0,0,138,212
0,0,138,212
0,0,138,212
45.40351073,86.778,158,139
79.17399748,58.841,158,139
0,0,158,139
0,0,158,139
0,0,158,139
